DEBUG 2024-10-30 14:13:15,104 autoreload File C:\Users\bhave\AppData\Local\Programs\Python\Python312\Lib\encodings\__init__.py first seen with mtime 1712699418.0
DEBUG 2024-10-30 14:13:15,104 autoreload File C:\Users\bhave\AppData\Local\Programs\Python\Python312\Lib\asyncio\timeouts.py first seen with mtime 1712699418.0
DEBUG 2024-10-30 14:13:15,104 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\contrib\sites\requests.py first seen with mtime 1725251065.8966374
DEBUG 2024-10-30 14:13:15,105 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1725251066.0378828
DEBUG 2024-10-30 14:13:15,105 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1725251065.1508565
DEBUG 2024-10-30 14:13:15,105 autoreload File C:\Users\bhave\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_events.py first seen with mtime 1712699418.0
DEBUG 2024-10-30 14:13:15,105 autoreload File D:\Dev\Project\api\sales\views.py first seen with mtime 1724829723.938861
DEBUG 2024-10-30 14:13:15,106 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\contrib\postgres\validators.py first seen with mtime 1725251065.6224356
DEBUG 2024-10-30 14:13:15,106 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1725251064.008207
DEBUG 2024-10-30 14:13:15,106 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1725251066.1681523
DEBUG 2024-10-30 14:13:15,107 autoreload File C:\Users\bhave\AppData\Local\Programs\Python\Python312\DLLs\_overlapped.pyd first seen with mtime 1712699462.0
DEBUG 2024-10-30 14:13:15,107 autoreload File C:\Users\bhave\AppData\Local\Programs\Python\Python312\Lib\uuid.py first seen with mtime 1712699418.0
DEBUG 2024-10-30 14:13:15,107 autoreload File C:\Users\bhave\AppData\Local\Programs\Python\Python312\Lib\opcode.py first seen with mtime 1712699418.0
DEBUG 2024-10-30 14:13:15,108 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1725251065.1538582
DEBUG 2024-10-30 14:13:15,108 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\db\models\base.py first seen with mtime 1725251066.0768645
DEBUG 2024-10-30 14:13:15,109 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1725251066.094869
DEBUG 2024-10-30 14:13:15,109 autoreload File D:\Dev\Project\api\authentication\models.py first seen with mtime 1730214703.5411146
DEBUG 2024-10-30 14:13:15,109 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\rest_framework\decorators.py first seen with mtime 1725251073.654291
DEBUG 2024-10-30 14:13:15,110 autoreload File D:\Dev\Project\api\service\admin.py first seen with mtime 1723751361.1721716
DEBUG 2024-10-30 14:13:15,111 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\core\exceptions.py first seen with mtime 1725251065.997661
DEBUG 2024-10-30 14:13:15,111 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1725251066.2031615
DEBUG 2024-10-30 14:13:15,112 autoreload File C:\Users\bhave\AppData\Local\Programs\Python\Python312\Lib\urllib\response.py first seen with mtime 1712699418.0
DEBUG 2024-10-30 14:13:15,113 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1725251064.9347978
DEBUG 2024-10-30 14:13:15,114 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1725251065.994661
DEBUG 2024-10-30 14:13:15,114 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1725251064.6571407
DEBUG 2024-10-30 14:13:15,115 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\template\context.py first seen with mtime 1725251066.1601503
DEBUG 2024-10-30 14:13:15,116 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1725251066.0738637
DEBUG 2024-10-30 14:13:15,117 autoreload File C:\Users\bhave\AppData\Local\Programs\Python\Python312\Lib\pkgutil.py first seen with mtime 1712699418.0
DEBUG 2024-10-30 14:13:15,118 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\PIL\ImageMode.py first seen with mtime 1725251312.586452
DEBUG 2024-10-30 14:13:15,118 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1725251065.038832
DEBUG 2024-10-30 14:13:15,119 autoreload File C:\Users\bhave\AppData\Local\Programs\Python\Python312\Lib\types.py first seen with mtime 1712699418.0
DEBUG 2024-10-30 14:13:15,119 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1725251065.0458336
DEBUG 2024-10-30 14:13:15,119 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1725251066.0968697
DEBUG 2024-10-30 14:13:15,120 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\django\utils\_os.py first seen with mtime 1725251066.1791549
DEBUG 2024-10-30 14:13:15,120 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\rest_framework\schemas\coreapi.py first seen with mtime 1725251073.708302
DEBUG 2024-10-30 14:13:15,121 autoreload File C:\Users\bhave\AppData\Local\Programs\Python\Python312\DLLs\_ctypes.pyd first seen with mtime 1712699462.0
DEBUG 2024-10-30 14:13:15,122 autoreload File C:\Users\bhave\AppData\Local\Programs\Python\Python312\Lib\argparse.py first seen with mtime 1712699418.0
DEBUG 2024-10-30 14:13:15,122 autoreload File C:\Users\bhave\AppData\Local\Programs\Python\Python312\DLLs\_ssl.pyd first seen with mtime 1712699462.0
DEBUG 2024-10-30 14:13:15,122 autoreload File D:\Dev\Project\api\venv\Lib\site-packages\rest_framework\schemas\__init__.py first seen with mtime 1725251073.707302
